titles,paragraph,links,label
"World Bank: Mauritius, Rwanda top African nations for doing business","Mauritius, Rwanda and Morocco were the top-performing African economies listed in the “Doing Business 2020” report released Thursday by the World Bank Group. The annual ranking looks at 190 nations and evaluates the business environment on the basis of 10 measures such as access to credit, with an overall ranking…",https://africatimes.com/2019/10/24/world-bank-mauritius-rwanda-top-african-nations-for-doing-business/,business
Kenyatta makes his pitch for U.S. business investment,"Kenya’s President Uhuru Kenyatta met with business leaders in the United States this week in a bid to attract more investment, particularly in manufacturing as his nation seeks to nearly double the sector’s share of GDP by 2022. Kenyatta spoke at a private forum hosted by the U.S. Chamber of…",https://africatimes.com/2019/09/25/kenyatta-makes-his-pitch-for-u-s-business-investment/,business
Germany Africa Business Forum announces funds for energy startups,"The Germany Africa Business Forum (GABF) announced Thursday a multimillion-Euro funding commitment to invest in German energy startups that focus on Africa. The GABF, based in Berlin and Johannesburg, South Africa, said the funds are the first of their kind for the advocacy group seeking to advance German partnerships with…",https://africatimes.com/2019/07/25/germany-africa-business-forum-announces-funds-for-energy-startups/,business
"In Mozambique, U.S. announces new African business council members","Officials in the United States have announced the 26 new members of the President’s Advisory Council on Doing Business in Africa (PAC-DBIA), which will serve the council’s third term through 2021. The appointments were announced by U.S. Department of Commerce Deputy Secretary Karen Dunn Kelley, left, during a U.S.-Africa Business…",https://africatimes.com/2019/06/21/in-mozambique-u-s-announces-new-african-business-council-members/,business
Botswana’s Masisi leaves for U.S. business trip,"The president of Botswana began an 11-day trip to the United States on Tuesday, leaving from Sir Seretse Khama International Airport as he headed off for his working visit to a number of cities. President Mokgweetsi Masisi will visit Las Vegas, San Francisco, New York and New Haven during his…",https://africatimes.com/2019/05/29/botswanas-masisi-leaves-for-u-s-business-trip/,business
Nearly $62 million is headed to Africa to support women in business,"Nearly USD$62 million for women in business is headed to the African continent, after the Women Entrepreneurs Finance Initiative (We-Fi) announced on Monday its funding allocation for the African Development Bank and its own women-focused programs. The funding through AfDB’s Affirmative Finance Action for Women in Africa (AFAWA) will be…",https://africatimes.com/2019/05/14/nearly-62-million-is-headed-to-africa-to-support-women-in-business/,business
Turkey-Africa Economy and Business Forum set for Istanbul,"Turkey is set to welcome ministers and business representatives from 49 African countries as the two-day Turkey-Africa Economy and Business Forum begins in Istanbul on Wednesday. This year’s forum is jointly organized by the African Union Commission, the Turkish Ministry of Commerce and Turkey’s Foreign Economic Relations Board (DEİK). Participants…",https://africatimes.com/2018/10/09/turkey-africa-economy-and-business-forum-set-for-istanbul/,business
Adesina calls for ‘business unusual’ through Africa Investment Forum,"The president of the African Development Bank was in Johannesburg Tuesday to launch the Africa Investment Forum, calling for an aggressive approach to investment through a new African investment marketplace. “If Africa is to achieve a genuine, equitable, and sustainable economic transformation, it cannot be business as usual,” said Akinwumi…",https://africatimes.com/2018/05/09/adesina-calls-for-business-unusual-through-africa-investment-forum/,business
"In Germany, Ghana’s Akufo Addo promotes business and investment","Ghanaian President Nana Akufo Addo will meet Wednesday with Chancellor Angela Merkel in Germany, where he is finishing up a 10-day tour that also took him to Togo and the United States. The two are expected to discuss bilateral relations with an emphasis on economic partnership. Ghana is one of…",https://africatimes.com/2018/02/28/in-germany-ghanas-akufo-addo-promotes-business-and-investment/,business
"World Bank report: Djibouti, Malawi make strides in ease of doing business","There is good news on the business front for some African nations: The Doing Business 2018 report from World Bank Group lists Djibouti, Malawi, Nigeria and Zambia among the world’s 10 most improved economies when it comes to regulatory reforms that make it easier to do business. Malawi, at No….",https://africatimes.com/2017/11/01/world-bank-report-djibouti-malawi-make-strides-in-ease-of-doing-business/,business
