titles,paragraph,links,label
KQ increases domestic flights ahead of Monday deadline,"Domestic flights will cease from March 29, 2021 mid day in the five counties.",/news/2021-03-27-kq-increases-domestic-flights-ahead-of-monday-deadline/,business
"Securex launches home security solution, e-commerce portal",Solution expected to help curb the increasing burglary incidences in domestic homes.,/business/kenya/2021-03-27-securex-launches-home-security-solution-e-commerce-portal/,business
Cybercrime worries on the increase including in Kenya – survey,"However, mobile users are reluctant to leave WhatsApp",/business/kenya/2021-03-27-cybercrime-worries-on-the-increase-including-in-kenya--survey/,business
"Give and critique, Kenya's debt relationship with IMF",The Washington based lender is set to approve $2.4 billion to the East African nation.,/business/kenya/2021-03-26-give-and-critique-kenyas-debt-relationship-with-imf/,business
Tea auction prices slide below two-dollar mark,A kilo averaged $1.88 at this week's sale,/business/kenya/2021-03-26-tea-auction-prices-slide-below-two-dollar-mark/,business
DTB profit dips 51 per cent to Sh3.5 billion,Assets however cross Sh400 billion threshold for the first time,/business/kenya/2021-03-26-dtb-profit-dips-51-per-cent-to-sh35-billion/,business
Duale goes after firms causing Sh17 extra charge in KPLC,Garissa Township MP seeks answers from Energy ministry on why KPLC shuns cheaper supplies from KenGen.,/news/2021-03-26-duale-goes-after-firms-causing-sh17-extra-charge-per-unit-in-kplc-bills/,business
New trucking module cuts turn-around time at Nairobi ICD,The authority has re-engineered business processes at the facility.,/business/kenya/2021-03-26-kpa-reports-improved-truck-turn-around-time-at-nairobi-icd/,business
Kenya Airways to increase flights during Easter celebrations,The national carrier says  the travellers on these routes will enjoy greater flexibility during the festive period.,/business/kenya/2021-03-26-kq-to-increase-flights-during-easter/,business
"Equity, FMO–NASIRA sign deal for Covid-19 support",The funding support SMEs and MSMEs to recover and thrive from the pandemic,/business/kenya/2021-03-26-equity-fmonasira-sign-deal-for-covid-19-support/,business
Local manufacturers worry over Suez Canal blockage,Giant cargo vessel– Ever Given has been blocking Egypt's Suez Canal since Tuesday.,/business/kenya/2021-03-26-kenya-firms-worried-over-suez-canal-blockage/,business
Canadian firm in alleged Sh139 billion loan with Kenya suspended,Kenya's National Treasury lodged the complaint early this week,/business/kenya/2021-03-26-canadian-firm-in-kenyan-loan-claim-suspended-in-us/,business
Safaricom to launch 5G network,"Mobile subscribers will enjoy faster internet and browsing speed operating at more efficient data rates.
Safaricom ...",/business/kenya/2021-03-26-safaricom-to-launch-5g-network/,business
