titles,paragraph,links,label
American Football,np,http://www.world-newspapers.com/american-football.html,sport
Baseball,np,http://www.world-newspapers.com/baseball.html,sport
Basketball,np,http://www.world-newspapers.com/basketball-magazines.html,sport
Billiards,np,http://www.world-newspapers.com/pool.html,sport
Boating/Sailing,np,http://www.world-newspapers.com/boat.html,sport
Bowling,np,http://www.world-newspapers.com/bowling.html,sport
Boxing,np,http://www.world-newspapers.com/boxing-magazines.html,sport
Auto Racing,np,http://www.world-newspapers.com/car-racing.html,sport
Climbing,np,http://www.world-newspapers.com/climbing.html,sport
Cricket,np,http://www.world-newspapers.com/cricket.html,sport
Cycling,np,http://www.world-newspapers.com/cycling.html,sport
Equestrian,np,http://www.world-newspapers.com/horses.html,sport
Golf,np,http://www.world-newspapers.com/golf-magazines.html,sport
Hockey,np,http://www.world-newspapers.com/hockey-magazines.html,sport
Horse Racing,np,http://www.world-newspapers.com/horse-racing.html,sport
Martial Arts,np,http://www.world-newspapers.com/martial-arts.html,sport
Rugby,np,http://www.world-newspapers.com/rugby.html,sport
Running,np,http://www.world-newspapers.com/running.html,sport
Soccer,np,http://www.world-newspapers.com/soccer-magazines.html,sport
Scuba Diving,np,http://www.world-newspapers.com/scuba.html,sport
Shooting,np,http://www.world-newspapers.com/guns.html,sport
Skateboarding,np,http://www.world-newspapers.com/skate.html,sport
Skiing,np,http://www.world-newspapers.com/skiing.html,sport
Snowboarding,np,http://www.world-newspapers.com/snow.html,sport
Surfing,np,http://www.world-newspapers.com/surfing.html,sport
Tennis,np,http://www.world-newspapers.com/tennis-magazines.html,sport
Triathlon,np,http://www.world-newspapers.com/triathlon.html,sport
Volleyball,np,http://www.world-newspapers.com/volleyball.html,sport
Windsurfing,np,http://www.world-newspapers.com/windsurfing.html,sport
Wrestling,np,http://www.world-newspapers.com/wrestling.html,sport
Athletic Business,"Magazine providing the latest information on building and operating an athletic facility, liability issues, athletic programs and special features vital to the athletic, fitness and recreation industry.

",http://www.athleticbusiness.com/,sport
Athlon Sports,"Season previews, predictions, and pre-game analysis for professional and college football, basketball, baseball, racing, and golf.

",http://www.athlonsports.com/,sport
Camelot Sports Media," Sport magazine focusing on baseball, basketball and american football.

",http://www.camelotsportsmedia.com/,sport
Compete Network,"News site with a mission of uniting the gay and straight worlds through sports.

",http://www.competenetwork.com/,sport
ESPN,"Premier sports magazine featuring player profiles, investigative journalism and regular features on professional and college sports, and humorous columns.

",http://www.espn.com/,sport
Inside Sport,"Features Australian sports news and models.

",http://www.insidesport.com.au/,sport
iPlayOutside,"Magazine for outdoor sports enthusists.

",http://www.iplayoutside.com/,sport
Middle Aged Ski Bum," Focused on skiing, hiking & cycling. Collection of news, reviews, interviews, expert advice & encouragement to get off the couch and live life.

",http://middleagedskibum.com/,sport
Muscle Sport Magazine," Covering male and female bodybuilding, sports and overall fitness.

",https://www.musclesportmag.com/,sport
RTR Sport,"News and information about sport, marketing and communication. 

",http://rtrsports.com/en/blog/,sport
SEEN Sport Magazine,"Magazine provides the independent sport photography and original features about athletes. Focusing on football, boxing, rugby, F1 and athletics. 

",http://seensportmagazine.com/,sport
Sports Media 101,"Provides 24/7 coverage on major sport news in the U.S. 

",http://www.sportsmedia101.com/,sport
Sports Mirchi," Focuses on sport news from India and regional countries. 

",http://www.sportsmirchi.com/,sport
Sporting Alert,"Non-profit organization focusing mainly on college and American pro sports reporting and results.

",http://sportingalert.com/,sport
Sporting News,"Popular weekly magazine featuring general sports news and articles. Known for comprehensive coverage of baseball.

",http://www.sportingnews.com/,sport
Sports Illustrated,"The largest weekly American sports magazine. Features news articles inclusive of all sports - college and professional, men's and women's, as well as quality photos.

",http://si.com/,sport
Titanbet," Betting site providing a wide range of betting related sport news, odds and articles. 

",http://www.titanbet.com/sports-articles,sport
UAE Sport Guide," Dedicated to all sport news from United Arab Emirates, with news updates, stories and event reports on many different types of sporting activities that the UAE currently holds, across all of the 7 Emirates. 

",http://www.uae-sport-guide.com,sport
Outside,np,http://www.tkqlhce.com/click-1039688-10834415?url=http%3A%2F%2Fwww.magazine-agent.com%2Fdirector%3Fpage%3D58%26umc%3D3172%26mul%3D12&cjsku=3172-12,sport
American Conservative,"Journal of traditional conservatism from Pat Buchanan.

",http://www.amconmag.com/,politics
American,"Magazine published by neo-conservatives' think tank American Enterprise Institute (AEI).

",http://www.american.com/,politics
American Prospect,"Biweekly liberal magazine of politics, policy and culture.

",http://www.prospect.org/,politics
American Spectator,"Right wing magazine of investigative reporting and commentary.

",http://www.spectator.org/,politics
Atlantic Monthly,"General editorial magazine focusing on contemporary social and cultural issues.

",http://www.theatlantic.com,politics
Big News Network," Online news service, constantly updating around 400 categories of news on an hourly basis.

",http://www.bignewsnetwork.com/,politics
Boston Review,"Political and literary magazine featuring the best in cultural debate, fiction, poetry, and reviews.

",http://bostonreview.net/,politics
Chronicles,"Cerebral magazine of traditional conservatism.

",http://www.chroniclesmagazine.org/,politics
Commentary,"Neo-conservative magazine taking a special interest in Jewish affairs.

",http://www.commentarymagazine.com/,politics
CounterPunch,"Daily updated leftist site muckraking US domestic and international politics.

",http://www.counterpunch.org/,politics
Dissent,"Culture and politics magazine of the left.

",http://www.dissentmagazine.org/,politics
Economist,"Provides in-depth coverage of political and economic events throughout the world.

",http://www.economist.com/,politics
Foreign Affairs,"Most influential journal in geostrategy and defence policy areas.
Published by New York based think tank  - the Council on Foreign Relations.

",http://www.foreignaffairs.org/,politics
Foreign Policy,Downmarket of the,http://www.foreignpolicy.com/,politics
FrontPage Magazine,", from the Carnegie Endowment for International Peace. 

",http://www.frontpagemag.com/,politics
Globalist,"Online conservative magazine, edited by David Horowitz. 

",http://www.theglobalist.com/,politics
Harper's Magazine,"Daily updated magazine on global economy, politics and culture.

",http://www.harpers.org/,politics
Harvard International Review,"Left leaning monthly covering social, political, and cultural issues.

",http://hir.harvard.edu/,politics
Harvard Political Review,"Prestigious international affairs magazine. 

",http://hpronline.org/,politics
Human Events,"Undergraduate journal of politics and public policy.

",http://www.humanevents.com/,politics
In These Times,"Weekly conservative magazine known for anti-liberal and anti-islamic stances.

",http://www.inthesetimes.com/,politics
Le Monde Diplomatique,"News and investigative reporting from the progressive left.

",http://mondediplo.com/,politics
Liberty,"Left-wing reputable French monthly.

",http://libertyunbound.com/,politics
Monthly Review,"Libertarian review of culture and politics.

",http://www.monthlyreview.org/,politics
Mother Jones,"Long-standing socialist magazine.

",http://www.motherjones.com/,politics
"Nation, The","Left wing magazine of investigative journalism.

",http://www.thenation.com/,politics
National Interest,"News analysis from the left. 

",http://www.nationalinterest.org/,politics
National Review,"Provides analysis of American foreign policy and world events in a wider context of history, culture, economics, and religion.

",http://www.nationalreview.com/,politics
New American,"Witty conservative magazine on politics and culture.

",http://www.thenewamerican.com/,politics
New Internationalist,"Conservative publication ""that defends Constitutional principles and traditional values"".

",http://www.newint.org/,politics
New Left Review,"Reports on issues of world poverty and inequality. Typical themes include sustainability, human rights and globalization.

",http://www.newleftreview.org/,politics
NewsMax.com,"London based journal covering politics, economics, and culture of a contemporary non-conformism.

",http://www.newsmax.com/,politics
Newsweek,"Conservative magazine and news site.

",http://www.newsweek.com/,politics
Policy Review,"Features articles from the current weekly issue as well as breaking news stories.

",http://www.hoover.org/publications/policyreview,politics
Progressive,"Influential conservative journal from the Hoover Institution.

",http://www.progressive.org/,politics
Reason,"Monthly alternative news magazine. 

",http://www.reason.com/,politics
Red Pepper,"Quality libertarian magazine covering politics, culture, economics, and social issues.

",http://www.redpepper.org.uk/,politics
Roll Call,"UK magazine of the green and radical left.

",http://www.rollcall.com/,politics
Salon,"Source for Congressional news and information.

",http://www.salon.com/,politics
Spectator,"Investigative online news magazine, slightly to the left.

",http://www.spectator.co.uk/,politics
spiked,"Well written conservative British magazine.

",http://www.spiked-online.com/,politics
Time,"London based magazine publishing a range of dissident views.

",http://www.time.com,politics
Toward Freedom,"Provides daily updated news articles.

",http://www.towardfreedom.com/,politics
U.S. News & World Report,"Publishes international news and analysis and promotes human rights issues.

",http://www.usnews.com,politics
Utne Reader,"National and international weekly news with an analytical focus.

",http://www.utne.com,politics
Weekly Standard,"Reprints articles from over 2,000 alternative media sources.

",http://www.weeklystandard.com/,politics
World Magazine,"Rupert Murdoch's influential magazine of the neo-conservatives.

",http://www.worldmag.com/,politics
World Politics Review,"Analysis of current events and society from a conservative Christian viewpoint.

",http://www.worldpoliticsreview.com/,politics
World Tribune," Offers geostrategic analysis in a variety of formats and provides research and background information tools. 

",http://www.worldtribune.com/,politics
Agriculture,np,http://www.world-newspapers.com/farming.html,business
Aviation,np,http://www.world-newspapers.com/aviation.html,business
Construction,np,http://www.world-newspapers.com/construction.html,business
E-Commerce,np,http://www.world-newspapers.com/e-commerce.html,business
Employment,np,http://www.world-newspapers.com/employment.html,business
Financial,np,http://www.world-newspapers.com/financial.html,business
Insurance,np,http://www.world-newspapers.com/insurance.html,business
Logistics,np,http://www.world-newspapers.com/logistics.html,business
Management,np,http://www.world-newspapers.com/management.html,business
Marketing,np,http://www.world-newspapers.com/marketing-magazines.html,business
Oil & Gas Industry,np,http://www.world-newspapers.com/oil.html,business
Real Estate,np,http://www.world-newspapers.com/real-estate.html,business
Telecommunications,np,http://www.world-newspapers.com/tele.html,business
Benzinga,"News and analysis service that focuses on global markets.

",http://www.benzinga.com/,business
bhdoha.com,"Providing business news from Qatar and giving access to global issues influencing the region's business landscape.

",http://www.bqdoha.com/,business
BizJournals,"Comprehensive resource for local business.

",http://www.bizjournals.com/,business
Black Enterprise,"African American destination for information regarding minority business issues.

",http://www.blackenterprise.com/,business
Business 2.0,"Quality  magazine about insight, tools, and advantage in e-business.

",http://www.business2.com,business
Business Review USA,"Digital magazine provides daily news and weekly e-newsletter. Features an in-depth look at specific industry issues such as Leadership, Finance, Operations and Technology.

",http://www.businessreviewusa.com/,business
Business Week,"Prominent  magazine covering global business news.

",http://www.businessweek.com,business
CEOWORLD Magazine,"Provides business, finance & technology news, reviews and analysis.

",http://ceoworld.biz/ceo/,business
Dismal Scientist,"Quality economic analysis and data.

",http://www.economy.com/dismal/,business
Dollars & Sense,"Publishes economic news and analysis, reports on economic justice activism, primers on economic topics, and critiques of the mainstream media's coverage of the economy.

",http://www.dollarsandsense.org/,business
Enterprise Systems Media,"Publishes two magazines for IT professionals in the world's largest enterprises, ""Enterprise Executive"" and ""Enterprise Tech Journal"".

",http://enterprisesystemsmedia.com/,business
Entrepreneur,"Offers entrepreneurs the information, services and expert advice to ensure small business success.

",http://www.entrepreneur.com/,business
Exec Digital," Portfolio of digital media products for professionals and executives, featuring all aspects of executive business and lifestyle.


",http://www.economy.com/dismal/,business
Exhibit City," Providing news and information related to tradeshows business exhibitions and shows in the US.  


",http://www.exhibitcitynews.com/,business
Fast Company,"Features the latest business news and trends, leading-edge entrepreneurs and the very fastest growing companies.

",http://www.fastcompany.com/homepage/,business
Forbes,"Leading newspaper of international business, finance, politics, and economics.

",http://www.ft.com/,business
Fortune," Provider of economic consensus forecasts for more than 70 countries in Asia, Europe and the Americas. Founded in 1998 and based in Barcelona, Spain.

",http://www.focus-economics.com/index.php,business
Harvard Business Review,"Contains articles for CEOs and individual investors alike. Articles include profiles of companies and private investors, as well as helpful statistics.

",http://www.forbes.com/,business
Industry Leaders Magazine,"Columns include features on the marketplace, tech movers and shakers, career trends, U.S. politics, and European business.

",http://www.fortune.com/,business
International Business Times,"Premier forum of the business world written by authorities in business and business education. 

",https://hbr.org/,business
Inc Magazine,"Business media with editorial vision towards leadership stories across different industry sectors like energy, manufacturing, construction, supply chain, hospitality and food & beverages.

",http://www.industryleadersmagazine.com/,business
Investvine,"Provides essential world business news to the audience in Hong Kong and China.

",http://www.ibtimes.com/,business
London Loves Business,"Provides small business resources and advice.

",http://www.inc.com/,business
Manufacturing Digital,"Magazine with offices in Manila, Dubai, Hong Kong and Barcelona, providing up-to-date business information enabling investors at all levels to identify investment opportunities in emerging markets.

",http://investvine.com/,business
Minority Business Development Agency,"Bringing thought-provoking London business news, comments and culture from London.

",http://www.londonlovesbusiness.com/,business
"Money Times, The","Site for manufacturing professionals and executives, featuring all aspects of managing a production based environment.

",http://www.manufacturingdigital.com/,business
Money Week,"A division of the U.S. Department of Commerce, the MBDA lists and provides resources for businesses that are headed by minorities and women.

",http://www.mbda.gov/,business
"New Economy, The","Coverage extends across a wide spectrum of business news such as business, financial markets, personal finance, technologies. 

",http://www.themoneytimes.com/,business
nPost.com,"Comment and analysis of UK and international financial news, with investment and financial advice.

",http://www.moneyweek.com/,business
Red Herring," Quarterly magazine and website, looking at technology and innovation in its wider business context. 

",http://www.theneweconomy.com/,business
Retail Digital,"Find interviews with CEOs, Founders, Chairmen about the issues and opportunities facing business today.

",http://www.npost.com/,business
Sourcing Journal,"Technology business news, analysis, and research.

",http://www.redherring.com,business
Small Biz Resources,"Magazine features an in-depth look at specific industry issues such as: multi-channel marketing; supply chain; property; and retail technology.

",http://www.retail-digital.com/,business
Strategy," Hub of global news and information, relied upon textile, soft goods, and apparel industries. Connecting readers with industry resources, expert commentary, and up-to-the-minute analysis of breaking news. 

",http://www.sourcingjournalonline.com/,business
strategy+business," Online business magazine publishing tips and advices geared toward starting and managing a small business. 

",http://smallbiz-resources.com/,business
Supply Chain Digital,"Bi-monthly publication and online content for business professionals focused on winning strategies and a thirst for business development.

",http://www.strategymagazine.com/index.php?action=clear,business
Talk Business,"Business magazine for senior business executives.

",http://www.strategy-business.com/,business
Wall Street Journal,"Magazine features an in-depth look at specific industry issues such as: logistics and distribution; procurement; warehousing and storage; and outsource.

",http://www.supplychaindigital.com/,business
CLICK HERE,"Brings talks with successful entrepreneurs about their past for today's start-ups on how they can discover and build up equivalent achievements.


",http://talkbusinessmagazine.co.uk/,business
List of World Stock Exchanges,"Premier source for the latest global business and financial news.
",http://online.wsj.com/,business
Stock Market Indices," to subscribe.
",http://www.anrdoezrs.net/click-1039688-10300649,business
The Economist,See also,http://www.world-stock-exchanges.net/,business
Forbes,and,http://www.world-stock-exchanges.net/indices.html,business
Bloomberg Businessweek,".

",http://www.anrdoezrs.net/click-1039688-10834415?url=http%3A%2F%2Fwww.magazine-agent.com%2Fdirector%3Fpage%3D58%26umc%3D3204%26mul%3D51&cjsku=3204-51,business
Selling Power,"
",http://www.jdoqocy.com/click-1039688-10834415?url=http%3A%2F%2Fwww.magazine-agent.com%2Fdirector%3Fpage%3D58%26umc%3D3204%26mul%3D51&cjsku=3204-51,business
Anime,"
",http://www.world-newspapers.com/anime.html,art
Antiques,"

",http://www.world-newspapers.com/collecting.html,art
Blues,np,http://www.world-newspapers.com/blues.html,art
Book Reviews,np,http://www.world-newspapers.com/review.html,art
Ceramic,np,http://www.world-newspapers.com/ceramics.html,art
Classical Music,np,http://www.world-newspapers.com/classical.html,art
Comics,np,http://www.world-newspapers.com/comics.html,art
Crafts,np,http://www.world-newspapers.com/crafts.html,art
Dance,np,http://www.world-newspapers.com/dance.html,art
Graphic Design,np,http://www.world-newspapers.com/graphics.html,art
Jazz,np,http://www.world-newspapers.com/jazz.html,art
Literature,np,http://www.world-newspapers.com/literature.html,art
Opera,np,http://www.world-newspapers.com/opera.html,art
Painting,np,http://www.world-newspapers.com/painting.html,art
Philosophy,np,http://www.world-newspapers.com/philosophy.html,art
Photography,np,http://www.world-newspapers.com/photography.html,art
Poetry,np,http://www.world-newspapers.com/poetry.html,art
Sculpture,np,http://www.world-newspapers.com/sculpture.html,art
Tattoo,np,http://www.world-newspapers.com/tattoo.html,art
Theatre,np,http://www.world-newspapers.com/theatre.html,art
absolutearts.com,np,http://www.absolutearts.com/,art
Aesthetica,np,http://www.aestheticamagazine.com/,art
archipelago,"Daily international art news and arts information about museums, galleries, and artists.

",http://www.archipelago.org,art
Artdependence,"UK culture and arts magazine. Covers literature, visual arts, music, film and theatre.

",http://www.artdependence.com/,art
ARTnews,"International journal of literature, the arts, and opinion.

",http://www.artnews.com/,art
Art Newspaper,"Art magazine based on Antwerp, Belgium. 

",http://www.theartnewspaper.com/,art
Art Papers,"Published eleven times a year, reports on the art, personalities, issues, trends and events shaping the international art world.

",http://artpapers.org/,art
Art Times,"Publishes news affecting the visual arts and culture worldwide. Part of a network with correspondents in more than 30 countries.

",http://www.arttimesjournal.com/,art
Art on Ice,"Selected articles from magazine focusing on contemporary art as a socially engaged discourse. 

",http://www.artonicemag.com/index.html,art
Artforum,"Literary journal and resource for the fine and performing arts.

",http://www.artforum.com/,art
artnet,"Quarterly magazine of art and culture in the Upper Peninsula of Michigan. 

",http://www.artnet.com/,art
Artnow Online,"Offers news and critiques of exhibitions in the visual arts, as well as critics' picks,  interviews, archives, and  events calendar.

",http://www.artnowonline.com/,art
"Arts Desk, The","Insider's guide to the art market with daily news, reviews & features, and the Price Database - archive of fine art auction results worldwide. 

",http://www.theartsdesk.com/,art
Arts & Opinion,"Magazine featuring international galleries, artists, events, museums, art fairs and biennials.

",http://www.artsandopinion.com/,art
Arts Editor,"Updated daily with reviews, news & interviews. Covers grand opera, movie releases and classical music. 

",http://www.artseditor.com/,art
Arts Journal,"Explores contemporary issues and publishes fiction, non-fiction, poetry, and reviews of books, film, music, art, theater.

",http://www.artsjournal.com/,art
Arts Professional,"Boston based monthly covering the visual, literary, and musical arts. 

",http://www.artsprofessional.co.uk/home,art
Artscope,"Daily arts news from more than 200 newspapers, magazines and e-publications.

",http://www.artscopemagazine.com,art
ARTStap," Online source for arts professionals in the UK. 

",http://www.artstap.com,art
Artwall Zine," Bimonthly New England's art publication covering regional arts scene.

",http://www.artwallzine.com/,art
ArtZine,"Ireland's leading publication for contemporary arts.

",http://taz.ondaradioattiva.it/,art
Beauty Of Washing Lines,"International monthly magazine providing news on contemporary art, music, poetry as well as analyses from independent critics.

",http://bowlartsmagazine.tumblr.com/,art
BERLIN ART LINK,"Articles, reviews of exhibitions, monographs on artists both new and classic, critical articles on art in general.

",http://www.berlinartlink.com/,art
Bomb," Mix of art, reviews, photos, flash fictions, music and poetry. 

",http://www.bombsite.com/,art
Cascade A&E," Contemporary arts platform,
facilitating an on-going conversation between creative professionals, art enthusiasts, and journalists across the globe. 
 

",http://www.cascadeae.com/,art
Cassone,"Find interviews between artists, writers, musicians, directors and actors.

",http://www.cassone-art.com/,art
CreativeFluff," Promoting cultural art life found in Central and Bend Oregon, US. Focused on visual arts, music, theatre, dance, fine dining, film, video, photography, fashion, festivals, events, literature and poetry.

",http://www.creativefluff.com/,art
Culturekiosque,"International online magazine of art and art books.

",http://www.culturekiosque.com/,art
culturevulture.net,"New York City online publication offering an impeccably curated showcase of modern artists, designers, and film-makers.

",http://www.culturevulture.net/,art
Design Faves,"European arts and culture magazine and travel guide, with news, reviews, interviews and travel event calendar. 

",http://www.designfaves.com/,art
Design TAXI,"Reviews and commentary on art, architecture, books, dance, movies, opera, television, and theater.

",http://designtaxi.com/,art
Doodlers Anonymous," Providing news on global design and visual culture. 

",http://www.doodlersanonymous.com/,art
eGrig," News website that focuses on design, technology, advertising and culture. Reaching professionals monthly via its website and social media streams.

",http://egrig.com/,art
Exquisite Corpse,"Publishes works of non proffesionsal artists in sketching and doodle drawing.

",http://www.corpse.org/,art
Flash Art Online," Publishing info about art, personalities, issues, trends, music and other art stuff. 

",http://www.flashartonline.com/,art
Frieze,"Art and culture journal featuring poetry, short stories, essays, gallery, and more. 

",http://www.frieze.com/,art
GALO,"Online edition of the print arts magazine with reviews, profiles, news and a forum.

",http://www.galomagazine.com/,art
Hayden's Magazine,"European contemporary art and culture magazine. Includes essays, reviews, columns and Art Fair that features over 150 contemporary art galleries in the world. 

",http://www.haydensmagazine.com/,art
Her Circle Ezine,"Weekly magazine looking into the artistic endeavors of New York City & American artists as well as those from Poland & Europe.

",http://www.hercircleezine.com/,art
Identity Theory," Sharing inspiring art and interviews with artists and entrepreneurs. Published twice a year.

",http://www.identitytheory.com/,art
